ind_id,school,degreeName,schoolName,fieldOfStudy,startDate_year
26,"{'objectUrn': 'urn:li:school:4084215', 'entityUrn': 'urn:li:fs_miniSchool:4084215', 'active': True, 'schoolName': 'AllWomen', 'trackingId': 'MbGj//XCS3KZem1kUdrZow==', 'logoUrl': 'https://media.licdn.com/dms/image/D4E0BAQG7EiiiJCfmIw/company-logo_'}",Bootcamp,AllWomen,Product Management,2022.0
26,"{'objectUrn': 'urn:li:school:12519', 'entityUrn': 'urn:li:fs_miniSchool:12519', 'active': True, 'schoolName': 'UVSQ Université de Versailles Saint-Quentin-en-Yvelines', 'trackingId': 'fQX7a7DbS0uH7x0ca65lQA==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGXMJZnms_oAQ/company-logo_'}",Master Degree Law,Université de Versailles Saint-Quentin-en-Yvelines,Public real estate law & public contract,2012.0
27,"{'objectUrn': 'urn:li:school:4076008', 'entityUrn': 'urn:li:fs_miniSchool:4076008', 'active': True, 'schoolName': ""école des métiers de l'information (SCOP SA)"", 'trackingId': 'Qr8Y9+JIR02Y3/RTM1S7/w==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQFviniipQfhkw/company-logo_'}",Graphiste plurimédia,école des métiers de l'information (SCOP SA),,2021.0
27,"{'objectUrn': 'urn:li:school:12559', 'entityUrn': 'urn:li:fs_miniSchool:12559', 'active': True, 'schoolName': 'Université Sorbonne Nouvelle', 'trackingId': 'ClqXMyqrTWKcOZzI/dmUig==', 'logoUrl': 'https://media.licdn.com/dms/image/D4E0BAQFSAb95geG2sw/company-logo_'}",,Université Sorbonne Nouvelle,"Communication, général",1991.0
27,"{'objectUrn': 'urn:li:school:481024', 'entityUrn': 'urn:li:fs_miniSchool:481024', 'active': True, 'schoolName': 'Université Paris Cité', 'trackingId': 'umZwRs5XQJuDAs+6iVWdbw==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHSYq2IsbZ4EQ/company-logo_'}",,Université Paris Descartes,Sociologie et linguistique,1990.0
28,"{'objectUrn': 'urn:li:school:453153', 'entityUrn': 'urn:li:fs_miniSchool:453153', 'active': True, 'schoolName': 'emlyon business school', 'trackingId': 'Aq8UlwRYQc2RCQbDGJuU5A==', 'logoUrl': 'https://media.licdn.com/dms/image/D4E0BAQFYY9E8jYRA2g/company-logo_'}",Master of Science (MSc),EMLYON Business School,Finance and Consulting,2007.0
28,"{'objectUrn': 'urn:li:school:11106', 'entityUrn': 'urn:li:fs_miniSchool:11106', 'active': True, 'schoolName': 'East China Normal University', 'trackingId': '2C2clE8SSG+TRczSi5ZLJQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQHawKVLAmBrIA/company-logo_'}",,East China Normal University,Asian Business Environment,2011.0
28,,,Lycée Carnot!,,
29,"{'objectUrn': 'urn:li:school:12436', 'entityUrn': 'urn:li:fs_miniSchool:12436', 'active': True, 'schoolName': 'ESSEC Business School', 'trackingId': 'RoD0ub8sRPu23JLaOR4LYw==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQHOyFUSQ_Q2ww/company-logo_'}",Master of Science (MSc) in Management,ESSEC - ESSEC Business School,Specialization in Entrepreneurship,2010.0
29,,Preparation Class to enter Business Schools,Institution des Chartreux,,2008.0
29,"{'objectUrn': 'urn:li:school:19875', 'entityUrn': 'urn:li:fs_miniSchool:19875', 'active': True, 'schoolName': 'University of Cape Town', 'trackingId': 'auUosEbmQtm5LlILOSqKtg==', 'logoUrl': 'https://media.licdn.com/dms/image/C560BAQEFCqoOrVEFCA/company-logo_'}",Graduate School of Business,University of Cape Town,"Exchange Student, 6 months",2013.0
30,"{'objectUrn': 'urn:li:school:43468', 'entityUrn': 'urn:li:fs_miniSchool:43468', 'active': True, 'schoolName': 'Hattemer', 'trackingId': 'qTrDrjlSRGCzM86riSrCKQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHNLbYV_WGItA/company-logo_'}",,Hattemer,,
30,"{'objectUrn': 'urn:li:school:12398', 'entityUrn': 'urn:li:fs_miniSchool:12398', 'active': True, 'schoolName': 'École Polytechnique', 'trackingId': '10ioIIyERPykeEQ7embGrQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQFVles59ko4gg/company-logo_'}",Master's degree,École Polytechnique,Économie,1988.0
30,"{'objectUrn': 'urn:li:school:4071063', 'entityUrn': 'urn:li:fs_miniSchool:4071063', 'active': True, 'schoolName': 'Collège Stanislas Paris', 'trackingId': 'jP2HXVs8SwGnYGJtc5zN9g==', 'logoUrl': 'https://media.licdn.com/dms/image/C4E0BAQHu5ofNwx1wXA/company-logo_'}",,Collège Stanislas Paris,,
31,"{'objectUrn': 'urn:li:school:12454', 'entityUrn': 'urn:li:fs_miniSchool:12454', 'active': True, 'schoolName': 'Sciences Po', 'trackingId': 'go1vKui4ToC+5+Z7evQdPQ==', 'logoUrl': 'https://media.licdn.com/dms/image/C4D0BAQGibH--XUFAAg/company-logo_'}",,Sciences Po,Economics and Finance - Political Science,1987.0
