company_id;companyname;adresse;activite;effectif;creation;forme_juridique;capital_social;activite_principale_declaree;code_naf_ou_ape;domaine_dactivite;inscription_rcs;city;date_inscr_rad;directors;post_code;country
58;openagora;2 RUE DE LA MABILAIS 35000 RENNES;Programmation informatique;0 salarié  (donnée 2020);17/01/2017;SAS, société par actions simplifiée;120500;"La conception et la mise à disposition de solutions en ligne d'aide à la prise de décision collective ; la conception et la mise à disposition de solutions collaboratives.";62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;0;RENNES;2022-02-28;Christophe MORVAN, Olivier BACHE, Benoit MASSON;35000;France
59;moneparti;CHATEAU DE VIXOUZE 15800 POLMINHAC;Activités des agences de presse;0 salarié  (donnée 2020);18/06/2015;SARL, société à responsabilité limitée;125815;Conception, analyses, production, duplication et diffusion d'informations politiques ainsi que toutes actions de média et de communication audio visuelle et internet;63.91Z (Activités des agences de presse);Services d'information;0;;2020-02-13;Serge PILICER;15800;France
60;nousrassemble;21 PL DE LA REPUBLIQUE 75003 PARIS 3;Édition de logiciels applicatifs;0 salarié  (donnée 2018);01/09/2014;SAS, société par actions simplifiée;15000;Conception, édition et maintenance de logiciels informatiques;58.29C (Édition de logiciels applicatifs);Édition;0;PARIS;2018-08-20;Grégory Bertrand;75003;France
61;bittle;235 RUE DENIS PAPIN 13857 AIX EN PROVENCE CEDEX 3;Édition de logiciels applicatifs;0 salarié  (donnée 2019);23/11/2009;SAS, société par actions simplifiée;199746;Édition de logiciels applicatifs.;58.29C (Édition de logiciels applicatifs);Édition;0;;2022-11-04;Michel ROUX, Christophe SUFFYS, Pierre MOUGIN, SIPAREX PROXIMITE INNOVATION, ADLINK AUDIT, Lauriane GERARDS-COTTIN;13857;France
62;marston;14 RUE CHARLES-V 75004 PARIS 4;Production de films et de programmes pour la télévision;Au moins 1 salarié  (donnée 2023);24/03/2021;SASU, société par actions simplifiée unipersonnelle;1000;Écriture, production audiovisuelle, production et réalisation d'émissions, directs, VOD, podcast, radiophonique. Acquisition, exploitation, distribution, édition, diffusion de toutes œuvres. Gestion de droits d'auteurs. Gestion de partenariats, opérations d'apporteurs d'affaires et de commissionnement. Journalisme, pige, rédaction, édition et diffusion de toutes œuvres. Diffusion de site internet et leur développement.;59.11A (Production de films et de programmes pour la télévision);"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale";1;PARIS;2021-04-08;Jean Massiet du Briest;75004;France
64;koom;40 RUE GASTON PAYMAL 92110 CLICHY;Portails Internet;0 salarié  (donnée 2023);28/06/2011;SAS, société par actions simplifiée;6000;Geolocalisation, services lies au bénévolat, collecte et traitement de données, actions a dimension éducative.;63.12Z (Portails Internet);Services d'information;1;NANTERRE;2020-09-04;Jérôme Lhote;92110;France
66;reperage_urbain;210 RUE SAINT MAUR 75010 PARIS 10;Recherche-développement en sciences humaines et sociales;Entre 3 et 5 salariés  (donnée 2020);07/10/2004;SARL, société à responsabilité limitée;5000;Étude et conseil, en sociologie, urbanisme, aménagement et développement local production d'outils de communication dont films vidéos;72.20Z (Recherche-développement en sciences humaines et sociales);Recherche-développement scientifique;1;PARIS;2004-10-28;ERIC HAMELIN;75010;France
68;D21;23 RUE JEAN JACQUES ROUSSEAU 75001 PARIS 1;Conseil pour les affaires et autres conseils de gestion;Au moins 1 salarié  (donnée 2023);26/10/2017;EURL, entreprise unipersonnelle à responsabilité limitée;100;L'aide à la concertation et la prise de décision d'un groupe en intégrant la participation publique dans la prise de décision. La création d'outils technologiques et la fourniture de prestations de conseils dans le domaine du vote, du sondage, de la délibération et la Priorisation.;70.22Z (Conseil pour les affaires et autres conseils de gestion);"Activités des sièges sociaux ; conseil de gestion";0;PARIS;2022-01-17;Andrew Gray;75001;France
69;IDcity;PARC MENEZ 29900 CONCARNEAU;Programmation informatique;Entre 6 et 9 salariés  (donnée 2020);19/05/2015;SAS, société par actions simplifiée;1000;Prestation de services, édition et commercialisation de solutions dans le domaine informatique;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;1;QUIMPER;2015-05-27;Antoine JESTIN;29900;France
70;Stig;114 RUE DE GRANGE 79000 NIORT;Programmation informatique;0 salarié  (donnée 2023);20/09/2015;SAS, société par actions simplifiée;35000;Édition, développement et exploitation de sites internet et applications mobiles de démocratie participative sur tous supports.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;1;NIORT;2022-10-11;CONNORS SAS, Geoffroy MICHEL;79000;France
71;opensourcepolitics;32 RUE DES CASCADES 75020 PARIS 20;Portails Internet;Entre 10 et 19 salariés  (donnée 2020);12/05/2016;SARL, société à responsabilité limitée;5000;Outils et méthodes de démocratie en ligne (logiciels, sites internet, dispositifs de concertation et de vote dématérialisés) et hors ligne (réunions, colloques, séminaires, ateliers d'intelligence collective).;63.12Z (Portails Internet);Services d'information;1;PARIS;2016-05-20;Olivier Buchotte, Valentin Chaput;75020;France
72;GOV;48 RUE DE PROVENCE 75009 PARIS 9;Programmation informatique;0 salarié  (donnée 2019);22/04/2014;SAS, société par actions simplifiée;1674;Développement et mise en service d'applications mobiles - ventes d'espaces publicitaires.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;0;PARIS;2020-06-12;Pierre-Alexandre Teulié;75009;France
74;fluicity;17 RUE MESLAY 75003 PARIS 3;Programmation informatique;0 salarié  (donnée 2023);10/07/2015;SAS, société par actions simplifiée;41190;Le développement et l'exploitation de plate formes internet intégrées visant à permettre aux collectivités locales d'impliquer leurs administrés dans le processus de prise de décisions et d'échanger avec d'autres collectivités sur des retours d'expériences en terme de décision d'investissement ou de gestion.;62.01Z (Programmation informatique);Programmation, conseil et autres activités informatiques;1;PARIS;2015-07-21;Julie De La Vallee De Rarecourt De Pimodan, Nicolas de Briey, Jonathan Meiss;75003;France
75;civocracy;84 RUE DELEUVRE 69004 LYON 4EME;Portails Internet;Au moins 1 salarié  (donnée 2023);09/10/2020;SAS, société par actions simplifiée;8079;Promouvoir des formes de discussions collaboratives et encourager toutes formes d'engagement civique par le biais en autre du développement et de l'exploitation d'une plateforme en ligne.;63.12Z (Portails Internet);Services d'information;1;LYON;2020-10-27;Chloé PAHUD;69004;France
